State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,10/01/2014,1200,3552,3401,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,28/01/2014,3500,3500,3500,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,08/02/2014,2611,3750,2800,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,11/02/2014,3500,3757,3641,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,13/02/2014,3538,3740,3600,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,16/02/2014,3000,3676,3550,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,07/03/2014,3600,4041,3900,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,25/05/2014,3850,4350,4150,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Other,FAQ,17/06/2014,3500,3891,3850,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,08/03/2014,3600,4190,4050,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,23/04/2014,4000,4140,4050,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,25/04/2014,4307,4307,4307,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,03/05/2014,3850,4390,4180,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,06/05/2014,3600,4370,4200,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,09/05/2014,4070,4510,4300,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,21/05/2014,4001,4341,4105,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,21/06/2014,3500,3800,3750,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,24/06/2014,3000,3667,3550,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,24/07/2014,3470,3929,3750,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,25/07/2014,3500,3870,3700,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,05/08/2014,3700,3700,3700,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,20/08/2014,3400,3400,3400,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,29/10/2014,2600,2913,2850,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,01/11/2014,2750,3080,2840,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,13/11/2014,2800,3075,3050,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,14/11/2014,2800,3076,3050,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,15/11/2014,2800,3066,3050,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,04/12/2014,2900,3172,3100,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,10/12/2014,2000,3178,3051,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,17/12/2014,2900,3170,3150,13
"Madhya Pradesh",Rajgarh,Sarangpur,Soyabean,Yellow,FAQ,24/12/2014,3000,3301,3200,13
"Madhya Pradesh",Guna,Raghogarh,Soyabean,Yellow,FAQ,08/12/2014,2860,3286,3250,13
"Madhya Pradesh",Guna,Raghogarh,Soyabean,Yellow,FAQ,11/12/2014,3200,3297,3260,13
"Madhya Pradesh",Guna,Raghogarh,Soyabean,Yellow,FAQ,17/12/2014,3174,3174,3174,13
"Madhya Pradesh",Guna,Raghogarh,Soyabean,Yellow,FAQ,18/12/2014,2995,3270,3200,13
"Madhya Pradesh",Gwalior,Dabra,Soyabean,Yellow,FAQ,08/01/2014,3116,3300,3250,13
"Madhya Pradesh",Gwalior,Dabra,Soyabean,Yellow,FAQ,13/10/2014,2581,2781,2762,13
"Madhya Pradesh",Gwalior,Dabra,Soyabean,Yellow,FAQ,16/10/2014,2401,2890,2726,13
"Madhya Pradesh",Gwalior,Dabra,Soyabean,Yellow,FAQ,17/10/2014,2250,2941,2800,13
"Madhya Pradesh",Gwalior,Dabra,Soyabean,Yellow,FAQ,18/10/2014,2375,2913,2775,13
